id,name,city,countryId,code,synonym
"22767616","Abilene Christian University Natural History Collection","Abilene","52880565","ACUNHC","NA"
"22767617","Australian Museum","Sydney","44491778","AM","NA"
"22767618","American Museum of Natural History","New York","52880565","AMNH","NA"
"22767619","Academy of Natural Sciences of Drexel University","Philadelphia","52880565","ANSP","NA"
"22767620","Australian National Wildlife Collection","Canberra","44491778","ANWC","NA"
"22767621","Natural History Museum, London","London","52880564","BM","British Museum (Natural History)"
"22767622","Bernice Pauahi Bishop Museum","Honolulu","52880565","BPBM","NA"
"22767623","Biodiversity Research and Teaching Collections Texas A&M University","College Station","52880565","BRTC","NA"
"22767624","California Academy of Sciences","San Francisco","52880565","CAS","NA"
"22767625","Coleccíon Boliviana de Fauna","La Paz","44491790","CBF","NA"
"22767626","Centro de Ecología y Biodiversidad, Lima, Peru","Lima","52880501","CEBIOMAS","NA"
"22767627","Centro de Investigaciones Biológicas del Noroeste","La Paz","52880469","CIB","NA"
"22767628","Carnegie Museum of Natural History","Pittsburgh","52880565","CM","NA"
"22767629","Colección Mamíferos Lillo","Tucumán","40297482","CML","NA"
"22767630","Coleção de Mamíferos da Universidade Federal de Lavras","Lavras","48686081","CMUFLA","NA"
"22767631","Centre for Thai National Reference Collections","Bangkok","52880548","CTNRC","NA"
"26961920","Colección Teriológica de la Universidad de Antioquia, Medellín","Medellín","48686098","CTUA","Museo de la Universidad de Antioquia (MUA)"
"26961921","Cornell University Museum of Vertebrates","Ithaca","52880565","CUMV","NA"
"26961922","Colección de Vertebrados de la Universidad de los Andes","Bogotá","48686098","CVULA","NA"
"26961923","Centro de Zoologica, Instituto de Investigação Científica Tropical","Lisbon","52880505","CZL","NA"
"26961924","Durban Natural Science Museum","Durban","52880533","DM","NA"
"26961925","Department of Zoology and Biological Anthropology of the University of Sassari","Sassari","52880436","DZAB","NA"
"26961926","Universidade Estadual Paulista Júlio de Mesquita Filho","São José do Rio Preto","48686081","DZSJRP","NA"
"26961927","Departamento de Zoologia, Setor de Ciências Biológicas, Universidade Federal do Paraná","Curitiba","48686081","DZUP","NA"
"26961928","Estación Biológica de Doñana","Seville","52880537","EBD","NA"
"26961929","Museo de la Estación Biológica de Rancho Grande","Aragua","52880571","EBRG","NA"
"26961930","Escuela Nacional de Ciencias Biológicas","Mexico City","52880469","ENCB","Colección de Mamíferos, Escuela Nacional de Ciencias Biológicas, Instituto Politécnico Nacional"
"26961931","E. O. Wilson Biodiversity Laboratory Collection at Gorongosa National Park","Chitengo","52880477","EOWBLC","NA"
"26961932","Field Museum of Natural History","Chicago","52880565","FMNH","NA"
"26961933","Grupo de Exploraciones Científicas","Havana","52880384","GEC","NA"
"26961934","Key Laboratory of Conservation and Application in Biodiversity of South China, School of Life Sciences, Guangzhou University","Guangzhou","48686095","GZHU","NA"
"26961935","Guizhou Normal University","Guizhou","48686095","GZNU","NA"
"26961936","Hungarian Natural History Museum","Budapest","52880428","HNHM","NA"
"26961937","Harrison Zoological Institute","Kent","52880564","HZM","NA"
"26961938","Instituto Argentino de Investigaciones de las Zonas Aridas","Mendoza","40297482","IADIZA","NA"
"26961939","Colección de Mamíferos, Instituto de Biología, Universidad Nacional Autónoma de México","Mexico City","52880469","IBUNAM","NA"
"26961940","Institute of Biology and Soil Science, Far East Branch of the Russian Academy of Sciences","Vladivostok","52880510","IBSS","NA"
"26961941","Colección de Mamíferos Alberto Cadena García, Instituto de Ciencias Naturales, Bogotá","Bogotá","48686098","ICN","NA"
"26961942","Institute of Ecology and Biological Resources","Hanoi","52880572","IEBR","NA"
"26961943","National Research Institute of the Amazon","Manaus","48686081","INPA","NA"
"26961944","Institute of Zoology, Chinese Academy of Sciences","Beijing","48686095","IOZCAS","NA"
"26961945","Kunming Institute of Zoology","Kunming","48686095","KIZ","NA"
"26961946","University of Kansas Biodiversity Institute and Natural History Museum","Lawrence","52880565","KU","NA"
"26961947","Kyoto University Museum","Kyoto","52880438","KUZ","NA"
"26961948","Natural History Museum of Los Angeles County","Los Angeles","52880565","LACM","NA"
"26961949","Lee Kong Chian Natural History Museum","Singapore","52880527","LKCNHM","NA"
"26961950","National Museums Liverpool","Liverpool","52880564","LIVCM","NA"
"26961951","Louisiana State University Museum of Zoology","Baton Rouge","52880565","LSUMZ","LSU Museum of Natural Science"
"26961952","Museo Argentino de Ciencias Naturales Bernardino Rivadavia","Buenos Aires","40297482","MACN","NA"
"26961953","Museum and Art Gallery of the Northern Territory","Darwin","44491778","MAGNT","NA"
"26961954","Macleay Museum, University of Sydney","Camperdown","44491778","MAMU","MMUS"
"26961955","Museo de Biología, Universidad del Zulia","Maracaibo","52880571","MBLUZ","NA"
"26961956","Museo de Biología, Universidad Central de Venezuela","Caracas","52880571","MBUCV","NA"
"26961957","Museo Civico di Storia Naturale, Milan","Milan","52880436","MCNM","NA"
"26961958","The Louis Agassiz Museum of Comparative Zoology","Cambridge","52880565","MCZ","Museum of Comparative Zoology, Harvard"
"26961959","Museo Ecuatoriano de Ciencias Naturales, Ecuador","Quito","52880393","MECN","NA"
"26961960","Museo de Historia Natural - Escuela Politécnica Nacional, Ecuador","Quito","52880393","MEPN","NA"
"26961961","Mammal Collection of the Museo Provincial de Ciencias Naturales “Dr. Ángel Gallardo”","Rosario","40297482","MGZVM","NA"
"26961962","Museo de Historia Natural de la Universidad de Caldas","Manizales","48686098","MHNUCa","NA"
"26961963","Musée d'Histoire Naturelle de la Chaux-de-Fonds","La Chaux-de-Fonds","52880543","MHNC","NA"
"26961964","Museo de Historia Natural Alcide d'Orbigny de Cochabamba","Cochabamba","44491790","MHNCM","NA"
"26961965","Muséum d'histoire naturelle de la Ville de Genève","Geneva","52880543","MHNG","NA"
"26961966","Museo de Historia Natural La Salle","Caracas","52880571","MHNLS","NA"
"26961967","Muséum d'histoire naturelle de Neuchâtel","Neuchâtel","52880543","MHNN","NA"
"26961968","Museo Municipal de Historia Natural de San Rafael","San Rafael","40297482","MHNSR","NA"
